"Product Id","Product Name","Short Description","Main Description Filename","Tab Titles"
"536809","Lavazza Brown Sugar Sticks x 1000","1000 Lavazza Brown Sugar Sticks - New Bigger Case","536809_maindesc.txt",""
"531593","Cafelat Knock Box - Stainless Steel","Cafelat Knock Box Classic Used For Style And Space","531593_maindesc.txt",""
"548595","Guarana Cacao Latte Powder","While cocoa increases your well-being, Guarana improves your physical and mental performance by providing you with long-lasting energy.","548595_maindesc.txt",""
"538756","Milfresh Silver Granulated Milk 10 x 500g","Milfresh Silver Granulated Skimmed Milk Whitener Is A Non-Hvo, Fat Free, Authentic Premium Milk Product Which Is Suitable For All Types Of Instant Machines.","538756_maindesc.txt",""
"546102","PureGusto ESE Coffee Pods - Honduras Arabica x 100 - Unwrapped","A New Beautifully Roasted 100% Arabica ESE Coffee Pod - Ready To Use & Packed For Fast Bulk Access - Great For Coffee Lovers & Bulk Users.","546102_maindesc.txt",""
"551100","Simply Toppings - Golden Pearls x 500g","Made using the finest ingredients, these Gold Pearls are a divinely tasteful addition to your cake, cookie or beverage.","551100_maindesc.txt",""
"547414","SIMPLY Passion Fruit Puree - 1 Litre","SIMPLY Passion Fruit Fruit Pur&#65533;e is perfect for adding exotic, juicy tart passion fruit flavor to cocktails, lemonades, iced teas and smoothies. * PUMPS NOT INCLUDED","547414_maindesc.txt",""
"537132","Cinnamon Sticks & Star Anise","Hand Cut Cinnamon Sticks & Premium Star Anise, Hermetically Heat Sealed To Preserve Their Freshness... Perfect For Those Seasonal Treats And Spiced Drinks Such As Mulled Wine.","537132_maindesc.txt",""
"540210","Hot Chocolate Dispenser - 5 Litre","The Hot Chocolate Machine Prepares Your Drinks Simply And Effortlessly Using The Professional “Bain-Marie” Method, Making For An Excellent Resulting Beverage.","540210_maindesc.txt",""
"540218","Van Houten Special Bar Chocolate 1 KG","Real Chocolate Powder For A Unique Chocolate Drink Sensation. With 32% Cocoa And 50% Chocolate, Van Houten Special Bar Gives An Authentic Tasting Chocolate Drink For Customers To Enjoy.","540218_maindesc.txt",""
"538868","PureShakes - Caramel Macchiato Shake Mix 1 KG","Pure shakes Caramel & Coffee Flavour Natural Milkshake Powder - Vegetarian Suitable Milkshake Range, That Thickens When Mixed For A Delicious Tasting Shake First Sip To The Last Gulp.","538868_maindesc.txt",""
"550170","Biodegradable Water Cones x 5000","4OZ BIODEGRADABLE WATER CUPS","550170_maindesc.txt",""
"547458","Simply Cinnamon Syrup - 1 Litre","Surprising, tangy and sensational cinnamon syrup, a perfect addition for coffee, latte or even smoothie and cocktail.","547458_maindesc.txt",""
"548917","Byron Bay - Gluten Free Wrapped Cookies - Dotty","A gluten free, rich and soft textured cookie, crammed with milk choc chunks and covered in colourful dotty choc drops.","548917_maindesc.txt",""
"547363","Monin Syrups - Chocolate - 1 Litre","MONIN CHOCOLATE Syrup - A classic cocktail flavour, MONIN Chocolate syrup delivers the comforting, luxurious taste of chocolate, enjoyed by civilisation for thousands of years.","547363_maindesc.txt",""
"536665","Twinings Green Tea & Gingerbread","Twinings Gingerbread Indulgence Green Envelope Teas","536665_maindesc.txt",""
"540951","Birchall Peppermint Prism Tea Bags","Our Peppermint Tea Is A Classic Herbal Tea Made From Only The Finest Pure Peppermint Leaves. It Really Is Perfection To A Tea And We Look Forward To You Enjoying It As Much As We Do","540951_maindesc.txt",""
"538888","Dinkum Cappuccino Cool Mix 1.25 KG","Looking For An Easy To Make, Low Cost Solution For A Cold Coffee Or Iced Cappuccino Drink. Look No Further","538888_maindesc.txt",""
"550180","Franke A600 Bean to Cup Machine","The Franke A600 is a state of the art commercial coffee machine. Designed to quickly and easily deliver the full spectrum of hot beverages and flavoured coffees","550180_maindesc.txt",""
"547420","WMF Milk Cleaning Fluid - 1 Litre","This milk system cleaner from WMF is specially formulated to keep the milk systems in its bean to cup coffee machines clean. Use it as part of your daily maintenance routine.","547420_maindesc.txt",""
